title,city/area,block/sector,bedroom,bathroom,sqrtFeet,price
Your Perfect Urban Home Awaits: Spacious 1090 Sq. Ft. Flat in Uttara Sector 11, Uttara,Sector 11,2,2,920.0,3300000.0
"Experience Modern Comfort, Rent a Spacious 1650 Sq. Ft. Flat in Bashundhara R/A", Bashundhara R-A,Block B,3,3,1275.0,8500000.0
Suitable 1250 Sq Ft Residential Apartment Available for Rent in Mohammadpur, Mohammadpur,Baitul Aman Housing,3,3,2290.0,22500000.0
Standard 1300 Square feet Apartment Available For Rent in Mohammadpur, Mohammadpur,Baitul Aman Housing,3,3,1135.0,7500000.0
1300 Sq Ft Flat Is Ready For Rent In West Dhanmondi, Dhanmondi,West Dhanmondi,3,4,1600.0,14000000.0
"Divine 2430 Sq Ft Apartment Is Up For Rent In Gulshan 1, Near The Gulshan Dcc Market.", Gulshan,Gulshan 1,3,3,2200.0,25000000.0
A Great residence for renting purposes with a space of 1050 SQ FT is available in Kal..., Mirpur,Kallyanpur,3,3,1380.0,9500000.0
"Make This 3000 Sq Feet Nice Flat Yours, By Renting It In Baridhara, Block K", Baridhara,Block K,4,4,1605.0,17000000.0
"4000 Sq Ft Residential Apartment For Rent In Baridhara, Block K", Baridhara,Block K,3,4,1420.0,10800000.0
Available Residential Apartment In Nikunja 2 Is Up For Rent., Nikunja,Nikunja 2,1,1,1282.0,8300000.0
"1650 Sq Ft Flat Available For Rent In The Great Area Of Bashundhara R-a, Block G", Bashundhara R-A,Block G,3,3,800.0,4360000.0
"View This 1400 Sq Ft Flat For Rent In Bashundhara R-a, Block I", Bashundhara R-A,Block I,3,3,1100.0,6500000.0
Offering You Well Constructed 900 Sq Ft Apartment To Rent In Mohammadpur, Mohammadpur,Tajmahal Road,3,2,1100.0,6500000.0
"View This 1400 Sq Ft Flat For Rent In Bashundhara R-a, Block I", Bashundhara R-A,Block I,3,3,800.0,4360000.0
2200 Sq Ft Amazing Flat For Rent In Uttara-4, Uttara,Sector 4,3,4,1108.0,5500000.0
"1650 Sq Ft Flat Available For Rent In The Great Area Of Bashundhara R-a, Block G", Bashundhara R-A,Block G,3,3,1695.0,13500000.0
Offering You Well Constructed 900 Sq Ft Apartment To Rent In Mohammadpur, Mohammadpur,Tajmahal Road,3,2,1500.0,8250000.0
Available Residential Apartment In Nikunja 2 Is Up For Rent., Nikunja,Nikunja 2,1,1,1200.0,6000000.0
"2200 Square Feet Apartment Of The Finest Quality Is Up For Rent In Mohammadpur, Babar...", Mohammadpur,Babar Road,3,4,2200.0,21000000.0
Property In Narinda Beside To Shaheed Jame Masjid – 1450 Sq Ft Flat For Rent, Sutrapur,Narinda,3,3,970.0,4000000.0
"Choose your destination, 1200 SQ FT flat which is available for rent in Mohammadpur n...", Mohammadpur,Humayun Road,3,2,1331.0,9500000.0
"To Reside In A Beautiful Flat, Visit This Nice Apartment In Mohammadpur", Mohammadpur,Tajmahal Road,2,2,1422.0,9811800.0
Modest 1180 Sq Ft Residential Apartment For Rent In Shyamoli, Shyamoli,Road No 2,3,4,1100.0,6200000.0
900 Square Feet Apartment For Rent In tajmahal Road, Mohammadpur,Tajmahal Road,3,2,1600.0,12000000.0
Elegant Flat Of 2200 Sft Is For Rent In Bashundhara Nearby North South University, Bashundhara R-A,Block B,3,4,1650.0,9500000.0
"1200 Sq Ft Flat Is Now For Rent In Wazuddin Road, Badda", Badda,Vatara,3,2,1650.0,13500000.0
"Sophisticated Style! This 2000 Sq Ft Flat For Rent In Sector 6, Uttara Is All About I...", Uttara,Sector 6,3,4,1250.0,6000000.0
1510 Sq Ft Flat With 3 Bedrooms For Rent In Bashundhara R-a, Bashundhara R-A,Block E,3,3,880.0,4400000.0
For Rental Purpose 1500 Sq Ft Flat Is Now Up To Rent In Agargaon,,Agargaon,3,3,1100.0,5500000.0
Have A Look At This 1000 Sq Ft Property Which Is Up For Rent Located At Middle Badda, Badda,Middle Badda,3,2,1350.0,8500000.0
Delightful 6800 Sq Ft Ready Semi Furnished Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,4,1667.0,22500000.0
Suitable 1100 SFT Apartment For Rent In Uttara 14, Uttara,Sector 14,3,2,1195.0,14000000.0
"Live In Excellence – 3 Bedroom Flat For Rent In Block E, Aftabnagar", Aftab Nagar,Block E,3,3,2200.0,22000000.0
Unfurnished | Cozy Apartment | Best Layout, Bashundhara R-A,Block L,3,3,1125.0,5925000.0
1150 Sq Ft Flat For Rent In Bashundhara R-a, Bashundhara R-A,Block L,3,3,1125.0,5925000.0
A Beautifully Constructed Apartment Of 1755 Sq Ft Is Vacant Right Now For Rent In Blo..., Aftab Nagar,Block E,3,3,650.0,3500000.0
1650 Sq Ft Amazing Flat For Rent In Maghbazar, Maghbazar,Outer Circular Road,3,4,1040.0,6500000.0
Reside In This 1300 Sq Ft Apartment Available For Rent In Mid Badda, Badda,Middle Badda,3,3,1300.0,5000000.0
"1100 Sq Ft Apartment For Rent In Banasree, Block G", Banasree,Block G,3,2,1300.0,5000000.0
"Make this 1350 SQ FT home your next residing location, which is up to Rent in West Ag...", Agargaon,West Agargaon,3,3,650.0,3000000.0
You Will Be Thankful For The Peaceful Atmosphere This Flat Of 2270 Sq Ft Is Going To ..., Bashundhara R-A,Block D,3,4,1120.0,5040000.0
Visit This 700 Sq Ft Rentable Property To Make It Your New Home In West Kafrul, Taltola,West Kafrul,2,2,1750.0,19200000.0
"Plan To Move In This 1150 Sq Ft Flat Which Is For Rent In Block L, Bashundhara R/A", Bashundhara R-A,Block L,3,3,1750.0,19200000.0
Spectacular 2750 Sq Ft Apartment For Rent In Gulshan, Gulshan,Gulshan 2,4,4,2700.0,67500000.0
Remarkable 2750 Sq Ft Ready Apartment For Rent In Gulshan 2, Gulshan,Gulshan 2,4,4,2700.0,67500000.0
"Reside Conveniently In This Well Constructed 1800 Sq Ft Flat For Rent In Sector 6, Ut...", Uttara,Sector 6,3,3,2440.0,25400000.0
"In Block E, Section 1, Mirpur With Satisfactory Price, A Flat Of 500 Sq Ft Is For Ren...", Mirpur,Section 1,2,1,1609.0,12800000.0
"You’re At The Right Place When You’re Here – 1050 Sq Ft Flat For Rent In Block B, Ban...", Banasree,Block B,3,2,1150.0,7000000.0
"Create Your New Home In A Nice Flat Of 2000 SFT For Rent In Bashundhara, Near Apollo ...", Bashundhara R-A,Block A,3,4,770.0,4000000.0
Commodious 1600 Sq Ft Apartment For Rent In Uttara, Uttara,Sector 14,3,3,1200.0,7700000.0
"1100 Square Feet Perfect Apartment For Rent In Mohammadpur, Pc Culture Housing", Mohammadpur,PC Culture Housing,3,2,1425.0,11500000.0
Tastefully Designed This 2100 Sq. Ft Apartment Is Now Vacant For Rent In Gulshan 2, Gulshan,Gulshan 2,3,3,2280.0,25000000.0
"Get Comfortable In A 2250 Sq Ft Flat For Rent In Bashundhara R/a, Near North South Un...", Bashundhara R-A,Block D,4,4,800.0,4000000.0
Suitable 1400 Sq Ft Apartment Is Ready To Rent In Aftab Nagar, Aftab Nagar,Block F,3,3,1700.0,18500000.0
Standard 1500 Sq Ft Apartment Is Ready To Rent In Aftab Nagar, Aftab Nagar,Block E,3,3,1000.0,5500000.0
Standard 1450 Sq Ft Apartment For Rent In Aftab Nagar, Aftab Nagar,Block E,3,3,1155.0,7000000.0
"Reside At Ease, In This 1325 Sq Ft Flat For Rent In Naya Paltan", Motijheel,Naya Paltan,3,3,1550.0,8600000.0
1750 Sq Ft Flat With 3 Bedrooms For Rent In Uttara-10, Uttara,Sector 10,3,3,930.0,5200000.0
1750 Sq Ft Flat For Rent In Uttara-10, Uttara,Sector 10,3,3,850.0,4000000.0
A Wonderful 1480 Sq Ft Flat Is For Rent In Bashundhara R-a, Bashundhara R-A,Block E,3,3,1200.0,5500000.0
"4 Bedroom Residential Apartment For Rent In Block D, Bashundhara R/A", Bashundhara R-A,Block D,4,4,1200.0,5500000.0
"Looking For A Perfect Family Home To Rent In Banasree, Check This 1700 Sq Ft Well Fea...", Banasree,Block E,4,4,1200.0,5500000.0
1300 Sq Ft Great Flat With A Nice View Is For Rent In Baridhara Dohs, Baridhara DOHS,Road No 2,3,2,1300.0,7000000.0
A Substantial Apartment Of 1200 Sq Ft Is Vacant For Rent In Vatara, Badda,Vatara,3,2,1500.0,9000000.0
1200 Sq Ft Apartment Is For Rent In Mirpur-1, Mirpur,Section 1,3,3,1530.0,10700000.0
"Deal With This 1000 Sq Ft Apartment Ready For Rent In Aftab Nagar, Block E", Aftab Nagar,Block E,3,2,1200.0,6000000.0
"Grab This 1050 Sq Ft Beautiful Flat Is Vacant For Rent In Middle Paikpara, Mirpur", Mirpur,Middle Paikpara,3,2,1250.0,7000000.0
"At Uttara 11, 1800 Square Feet Flat For Rent Close To Police Station", Uttara,Sector 11,3,4,1200.0,6350000.0
4350 Square Feet Full Furnished Apartment For Rent In Gulshan 1, Gulshan,Gulshan 1,4,4,1280.0,5000000.0
"4000 Sq Ft Spacious Apartment For Rent In Baridhara, Block K", Baridhara,Block K,4,4,1430.0,8580000.0
"2800 Sq Ft Full Furnished Apartment With Standard And Modern Fittings, Is Up For Rent...", Gulshan,Gulshan 2,3,3,850.0,7000000.0
Deal With This 1690 Sq Ft Flat For Rent In Tejgaon, Tejgaon,Tejkunipara,3,3,1295.0,6500000.0
Your Desired Large 3 Bedroom Apartment Is For Rent In Bashundhara R-a Near Apollo Hos..., Bashundhara R-A,Block A,3,4,1300.0,8400000.0
2880 SFT Ready Apartment For Rent In Baridhara Block K ., Baridhara,Block K,3,3,1400.0,6000000.0
"Deal With This 1400 Sq Ft Apartment Ready For Rent In Aftab Nagar, Block F", Aftab Nagar,Block F,3,3,1250.0,5000000.0
Standard 1400 Sq Ft Apartment Is Ready To Rent In Aftab Nagar, Aftab Nagar,Block F,3,3,1450.0,9425000.0
Modest 1100 Sq Ft Apartment For Rent In Banasree, Banasree,Block G,3,2,1400.0,8140000.0
1100 Square Feet Residential Flat For Rent In Uttar Badda, Badda,Uttar Badda,3,3,1200.0,6600000.0
Vacant Now | Three Bedrooms Apartment | Ready To Rent In Banasree, Banasree,Block F,3,3,1100.0,9000000.0
"Take This Nice 1200 Sq Ft Full Furnished Apartment In Bashundhara R-a, To Fulfill You...", Bashundhara R-A,Block D,2,2,650.0,2400000.0
Attention Home Finders! A 750 Sq.ft-2 Bedroom Flat Is Up For Rent At Pc Culture Housi..., Mohammadpur,PC Culture Housing,2,2,650.0,3300000.0
Offering You A 1370 sq ft nice Flat For Rent In Sjahjadpur, Badda,Shahjadpur,3,3,1100.0,4200000.0
"In The Location Of Bashundhara , 3 Bedroom Apartment Is Up To Rent Near Oxford Founda...", Bashundhara R-A,Block D,3,3,925.0,5600000.0
